species,gene_family,n_sequences,omega,boot_median,ci_lo,ci_hi,n_pairs,n_dS0,n_valid,n_genomes_present,n_multicopy_genomes,species_input_sha256,method_version
L. rhamnosus,polA,31,0.0223,0.0223,0.0184,0.0261,465,56,409,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,radA,31,0.0032,0.0031,0.0012,0.0052,465,60,405,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,recA_1,31,0.031,0.0312,0.0254,0.0362,465,49,416,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,recN,31,0.0289,0.0291,0.024,0.0348,465,63,402,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,recO,31,0.0738,0.0737,0.0602,0.0903,465,94,371,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,recR,31,0.0425,0.0431,0.0143,0.085,465,153,312,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,ruvA,31,0.0058,0.0057,0.0,0.0181,465,119,346,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,ruvB_2,31,0.0062,0.0061,0.0035,0.0092,465,119,346,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,ssbA,31,0.0405,0.0404,0.0303,0.0549,465,102,363,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,ssb_1~~~ssb_2,31,0.063,0.0624,0.0399,0.0885,465,97,368,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,trxA_1,31,0.0,0.0,0.0,0.0,465,435,30,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,trxA_2,31,0.0995,0.1004,0.0747,0.1353,465,130,335,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,uvrA_1,31,0.0178,0.0178,0.0146,0.021,465,98,367,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,uvrA_1~~~uvrA_3,31,0.0514,0.0515,0.0443,0.0582,465,99,366,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,uvrB,31,0.003,0.003,0.0008,0.0058,465,93,372,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,ytpP,31,0.0,0.0,0.0,0.0,465,184,281,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
